인덱스번호,카페이름,url
105,"랑데자뷰 건대점카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1608897550?c=15.00,0,0,0,dh&placePath=/review"
106,커피마켓카페,"https://map.naver.com/p/search/건대입구 카페/place/11713252?c=15.00,0,0,0,dh&placePath=/review"
107,이디야커피 건대역점,"https://map.naver.com/p/search/건대입구 카페/place/36252605?c=15.00,0,0,0,dh&placePath=/review"
108,"걈카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1099655054?c=15.00,0,0,0,dh&placePath=/review"
109,스타벅스 화양삼거리점,"https://map.naver.com/p/search/건대입구 카페/place/1954644869?c=15.00,0,0,0,dh&placePath=/review"
110,달콤제빵소베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1816196876?c=15.00,0,0,0,dh&placePath=/review"
111,바나프레소 건대역점바나프레소,"https://map.naver.com/p/search/건대입구 카페/place/1485738665?c=15.00,0,0,0,dh&placePath=/review"
112,오에이오 서울베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1680939918?c=15.00,0,0,0,dh&placePath=/review"
113,"꿈꾸다917카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1058109946?c=15.00,0,0,0,dh&placePath=/review"
114,딜란스쿠키,"https://map.naver.com/p/search/건대입구 카페/place/1159019733?c=15.00,0,0,0,dh&placePath=/review"
115,늑커피 구의,"https://map.naver.com/p/search/건대입구 카페/place/1173431812?c=15.00,0,0,0,dh&placePath=/review"
116,카페 언필드,"https://map.naver.com/p/search/건대입구 카페/place/1912020046?c=15.00,0,0,0,dh&placePath=/review"
117,스칼라또아이스크림,"https://map.naver.com/p/search/건대입구 카페/place/1955948925?c=15.00,0,0,0,dh&placePath=/review"
118,파리바게뜨 건대로데오점,"https://map.naver.com/p/search/건대입구 카페/place/19718027?c=15.00,0,0,0,dh&placePath=/review"
119,꼬메노카페,"https://map.naver.com/p/search/건대입구 카페/place/20322289?c=15.00,0,0,0,dh&placePath=/review"
120,메가MGC커피 자양시장점카페,"https://map.naver.com/p/search/건대입구 카페/place/1054497236?c=15.00,0,0,0,dh&placePath=/review"
121,빽다방 건대로데오점테이크아웃커피,"https://map.naver.com/p/search/건대입구 카페/place/37002507?c=15.00,0,0,0,dh&placePath=/review"
122,성북당 십원빵 건대스타시티점,"https://map.naver.com/p/search/건대입구 카페/place/1018365928?c=15.00,0,0,0,dh&placePath=/review"
